movie_id,title,overview,genres,release_date,vote_average,vote_count,popularity,original_language,adult
1035259,The Naked Gun,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,"['Action', 'Comedy', 'Crime']",2025-07-30,6.844,315,239.9151,en,False
1078605,Weapons,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.","['Horror', 'Mystery']",2025-08-04,7.467,736,233.6251,en,False
1022787,Elio,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.","['Animation', 'Family', 'Comedy', 'Adventure', 'Science Fiction']",2025-06-18,6.896,388,221.3198,en,False
1035259,The Naked Gun,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,"['Action', 'Comedy', 'Crime']",2025-07-30,6.9,306,239.9151,en,False
1389158,Maa,A mother and daughter encounter a demon in a village where girls have been disappearing.,['Horror'],2025-06-20,7.5,20,199.9907,hi,False
70196,The Veteran,"Soldier Robert Miller returns home from Afghanistan unable to fit back into society. Living on a violent council estate and finding work in undercover surveillance, he becomes obsessed with taking down a group of local gangsters who are intrinsically tied to a suspected terrorist cell. Taking the situation into his own hands, Robert embarks on a brutal quest for justice, with devastating consequences.","['Action', 'Crime', 'Thriller']",2011-04-29,5.762,126,212.0011,en,False
1241470,Osiris,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.","['Science Fiction', 'Action', 'Horror']",2025-07-25,6.634,108,188.7494,en,False
1024592,God's Not Dead: In God We Trust,"In a time of profound political, civil, and spiritual turmoil, Reverend David Hill grapples with the crucial question: Does God still have a place in politics? Compelled to enter a congressional race after the sudden death of a favored incumbent, David faces off against state senator Peter Kane, a formidable opponent determined to push religion out of the public square and cause greater divide.",['Drama'],2024-09-12,4.8,14,192.5445,en,False
1300116,Fall for Me,"Lilli is suspicious of her sister's new fiance, but when an attractive stranger enters her life, she's suddenly distracted by the thralls of desire.","['Romance', 'Thriller']",2025-08-20,6.065,78,178.7973,de,False
1319895,Hostile Takeover,"Follows Pete, a professional hitman, as he faces a group of assassins after the boss of a crime syndicate suspects disloyalty due to his attendance at Workaholics Anonymous meetings.","['Action', 'Comedy', 'Thriller']",2025-08-08,7.32,25,158.9068,en,False
744653,The Thursday Murder Club,A group of senior sleuths passionate about solving cold cases get plunged into a real-life murder mystery in this comic crime caper.,"['Comedy', 'Mystery', 'Crime']",2025-08-22,6.718,252,180.3551,en,False
926606,The Home,"A troubled man starts working at a retirement home and realizes its residents and caretakers harbor sinister secrets. As he investigates the building and its forbidden fourth floor, he starts to uncover connections to his own past and upbringing as a foster child.","['Horror', 'Mystery', 'Thriller']",2025-07-24,6.652,33,162.6994,en,False
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","['Science Fiction', 'Adventure']",2025-07-23,7.2,1169,151.4645,en,False
1125257,Freakier Friday,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.","['Comedy', 'Fantasy', 'Family']",2025-08-06,6.937,151,128.7437,en,False
980477,Ne Zha 2,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.","['Animation', 'Fantasy', 'Adventure', 'Action']",2025-01-29,8.0,336,119.6643,zh,False
1506456,Maalikaya,"Kara, a young inmate who unleashes her hidden sexual fantasies while serving time. After meeting Lila, a seductive inmate played by Jenn Rosa, Kara finds a new purpose in life. But her dark past still haunts her even behind bars.","['Drama', 'Romance']",2025-07-25,6.3,3,130.992,tl,False
1038392,The Conjuring: Last Rites,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,['Horror'],2025-09-03,7.9,8,115.6288,en,False
552524,Lilo & Stitch,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,"['Family', 'Science Fiction', 'Comedy', 'Adventure']",2025-05-17,7.3,1434,110.9295,en,False
1355666,Love Untangled,A lovestruck teen plans to win the school heartthrob by going from curly to straight hair — until a new transfer student changes everything.,"['Romance', 'Drama', 'Comedy']",2025-08-28,8.5,33,117.6507,ko,False
986206,Night Carnage,A blogger who is also a werewolf meets a dashing playboy with a dark secret of his own. Starring Logan Andrews and Christian Howard.,"['Action', 'Horror', 'Romance']",2025-07-29,5.864,44,95.7216,en,False
541671,Ballerina,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","['Action', 'Thriller', 'Crime']",2025-06-04,7.405,1467,100.5071,en,False
986056,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.","['Action', 'Science Fiction', 'Adventure']",2025-04-30,7.4,2449,98.4234,en,False
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","['Action', 'Adventure', 'Thriller', 'Crime']",2002-08-09,5.96,4530,98.246,en,False
1185528,Legends of the Condor Heroes: The Gallants,"Under Genghis Khan, the Mongolian army pushes west to destroy the Jin Dynasty, setting its sights on the Song Dynasty next. Amid internal conflicts among martial arts schools, Guo Jing unites the Central Plains' warriors to defend Xiangyang, embodying courage and loyalty in the fight for the nation.","['Action', 'Drama', 'History']",2025-01-29,6.7,57,83.455,zh,False
1119878,Ice Road: Vengeance,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.","['Action', 'Thriller', 'Drama']",2025-06-27,6.8,192,82.7037,en,False
993234,Borders of Love,"After years together, Petr and Hana, partners in work and in life, share their unspoken erotic fantasies. What begins as an innocent conversation gradually turns into curious experimentation with a non-monogamous approach to their relationship. But sexual freedom tastes differently for each of them.","['Drama', 'Romance']",2022-11-03,6.2,26,81.8161,cs,False
1106289,The Pickup,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,"['Action', 'Comedy', 'Crime']",2025-07-27,6.5,316,77.5841,en,False
574475,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.","['Horror', 'Mystery']",2025-05-14,7.144,2083,75.3841,en,False
1365103,Marriage Unplugged,"Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.","['Science Fiction', 'Comedy', 'Drama']",2024-10-28,7.0,9,74.6114,en,False
1071585,M3GAN 2.0,"After the underlying tech for M3GAN is stolen and misused by a powerful defense contractor to create a military-grade weapon known as Amelia, M3GAN's creator Gemma realizes that the only option is to resurrect M3GAN and give her a few upgrades, making her faster, stronger, and more lethal.","['Action', 'Science Fiction', 'Thriller']",2025-06-25,7.524,785,73.1288,en,False
1443260,Rob1n,"When a robotics expert channels the grief of losing his 11 year-old son into building 'Robin', a fully functioning robotic doll, a series of horrific events makes it clear Robin will do whatever it takes to have his creator all to himself.","['Horror', 'Thriller']",2025-03-20,5.25,39,72.1458,en,False
1155281,Creation of the Gods II: Demon Force,"Taishi Wen Zhong led the army of Shang Dynasty including Deng Chanyu and four generals of the Mo Family to Xiqi. With the help of Kunlun immortals such as Jiang Ziya, Ji Fa led the army and civilians of Xiqi to defend their homeland.","['Action', 'Fantasy', 'War']",2025-01-29,6.429,98,71.0714,zh,False
715287,Stepmom's Desire,"Sang-jin, who was envious of her neighbor after getting a beautiful wife, Ask your wife's friend Gian to take over the son's extracurricular teacher, Sang-jin, who left work early, accidentally sees Gian's shower. A man who wants to have sex with his son's tutor, And a son who wants to have a good time with a young stepmom, Ji-an and Jin-hee, who want money, are disappointed with her husband, and Bin-jin gives her body to a young son.","['Drama', 'Romance']",2020-05-29,7.167,30,70.6855,ko,False
1011477,Karate Kid: Legends,"After a family tragedy, kung fu prodigy Li Fong is uprooted from his home in Beijing and forced to move to New York City with his mother. When a new friend needs his help, Li enters a karate competition – but his skills alone aren't enough. Li's kung fu teacher Mr. Han enlists original Karate Kid Daniel LaRusso for help, and Li learns a new way to fight, merging their two styles into one for the ultimate martial arts showdown.","['Action', 'Adventure', 'Drama']",2025-05-08,7.121,774,68.9679,en,False
1319969,Sketch,"When a young girl’s sketchbook falls into a strange pond, her drawings come to life—chaotic, real, and on the loose. As the town descends into chaos, her family must reunite and stop the monsters they never meant to unleash.","['Adventure', 'Fantasy', 'Comedy', 'Family']",2025-08-06,7.306,31,68.5903,en,False
1151031,Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",['Horror'],2025-05-28,7.391,737,67.8476,en,False
1100988,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.","['Horror', 'Thriller', 'Science Fiction']",2025-06-18,6.8,1335,67.4843,en,False
1419406,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"['Action', 'Crime', 'Thriller']",2025-08-16,7.5,20,66.9661,zh,False
936108,Smurfs,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.","['Animation', 'Family', 'Fantasy']",2025-07-05,6.109,156,66.7788,en,False
1312946,The Map That Leads to You,"Heather is a young woman traveling Europe with friends before starting her perfectly planned life. A chance meeting with Jack sparks an unexpected romance that leads to deep emotional discovery. As secrets and life choices test their bond, her path changes forever.","['Romance', 'Drama']",2025-08-19,6.577,142,66.4891,en,False
1470086,Ligaw,"A sultry woman who charms the hearts of men in a remote province. Dolores, a devoted wife to her paraplegic husband, falls for a young mountaineer. What begins as a reckless escape turns into an affair drenched in passion and secrecy.","['Drama', 'Romance']",2025-05-09,7.25,4,65.7987,tl,False
1195631,William Tell,"The narrative unfolds in the 14th Century, when the European nations vie for supremacy within the Holy Roman Empire. The ambitious Austrian Empire, desiring more land, invades neighbouring Switzerland, a serene and pastoral nation. Protagonist William Tell, a formerly peaceful hunter, finds himself forced to take action as his family and homeland come under threat from the oppressive Austrian King and his ruthless warlords.","['Action', 'Drama', 'History']",2025-01-17,6.5,117,64.1881,en,False
1403735,Laila,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","['Comedy', 'Romance']",2025-02-14,5.8,5,61.162,te,False
